bairro	cidade	estado	pais
Bela Vista	Campina Grande	Paraiba	Brasil
Ramadinha	Campina Grande	Paraiba	Brasil
Quarenta	Campina Grande	Paraiba	Brasil
Cruzeiro	Campina Grande	Paraiba	Brasil
Malvinas	Campina Grande	Paraiba	Brasil
Universitário	Campina Grande	Paraiba	Brasil
Malvinas	Campina Grande	Paraiba	Brasil
Centenário	Campina Grande	Paraiba	Brasil
Três Irmãs	Campina Grande	Paraiba	Brasil
Novo Bodocongo	Campina Grande	Paraiba	Brasil
Pedregal	Campina Grande	Paraiba	Brasil
Pedregal	Campina Grande	Paraiba	Brasil
Bodocongó	Campina Grande	Paraiba	Brasil
São José	Campina Grande	Paraiba	Brasil
Três Irmãs	Campina Grande	Paraiba	Brasil
Catolé	Campina Grande	Paraiba	Brasil
Malvinas	Campina Grande	Paraiba	Brasil
Bodocongó	Campina Grande	Paraiba	Brasil
Jeremias	Campina Grande	Paraiba	Brasil
Ramadinha	Campina Grande	Paraiba	Brasil
São José da Mata	Campina Grande	Paraiba	Brasil
Bodocongó	Campina Grande	Paraiba	Brasil
Malvinas	Campina Grande	Paraiba	Brasil
Galante	Campina Grande	Paraiba	Brasil
Centro - Eperança	Campina Grande	Paraiba	Brasil
Centenário	Campina Grande	Paraiba	Brasil
Dinamérica	Campina Grande	Paraiba	Brasil
Santa Cruz	Campina Grande	Paraiba	Brasil
Pedregal	Campina Grande	Paraiba	Brasil
Presidente Médici	Campina Grande	Paraiba	Brasil
Bodocongó	Campina Grande	Paraiba	Brasil
Palmeira	Campina Grande	Paraiba	Brasil
Araxá	Campina Grande	Paraiba	Brasil
Malvinas	Campina Grande	Paraiba	Brasil
Bodocongó	Campina Grande	Paraiba	Brasil
Bodocongó	Campina Grande	Paraiba	Brasil
Bodocongó	Campina Grande	Paraiba	Brasil
Bodocongó	Campina Grande	Paraiba	Brasil
Malvinas	Campina Grande	Paraiba	Brasil
Três Irmãs	Campina Grande	Paraiba	Brasil
Conceição	Campina Grande	Paraiba	Brasil
Prata	Campina Grande	Paraiba	Brasil
Malvinas	Campina Grande	Paraiba	Brasil
Catolé	Campina Grande	Paraiba	Brasil
Ramadinha 	Campina Grande	Paraiba	Brasil
São José da Mata	Campina Grande	Paraiba	Brasil
Jardim Paulistano	Campina Grande	Paraiba	Brasil
Bodocongó	Campina Grande	Paraiba	Brasil
Monte Santo	Campina Grande	Paraiba	Brasil
Acácio Figueiredo	Campina Grande	Paraiba	Brasil
Bodocongó	Campina Grande	Paraiba	Brasil
Cruzeiro	Campina Grande	Paraiba	Brasil
Cruzeiro	Campina Grande	Paraiba	Brasil
João Paulo II	Campina Grande	Paraiba	Brasil
José Pinheiro	Campina Grande	Paraiba	Brasil
Malvinas	Campina Grande	Paraiba	Brasil
Bodocongó	Campina Grande	Paraiba	Brasil
José Pinheiro	Campina Grande	Paraiba	Brasil
Francisco Cabral - JS	Campina Grande	Paraiba	Brasil
Malvinas	Campina Grande	Paraiba	Brasil
Dinamérica	Campina Grande	Paraiba	Brasil
Cruzeiro	Campina Grande	Paraiba	Brasil
São José da Mata	Campina Grande	Paraiba	Brasil
Catolé	Campina Grande	Paraiba	Brasil
Bela Vista	Campina Grande	Paraiba	Brasil
Bela Vista	Campina Grande	Paraiba	Brasil
São José da Mata	Campina Grande	Paraiba	Brasil
Liberdade	Campina Grande	Paraiba	Brasil
Catolé	Campina Grande	Paraiba	Brasil
Severino Cabral	Campina Grande	Paraiba	Brasil
Santa Cruz	Campina Grande	Paraiba	Brasil
Malvinas	Campina Grande	Paraiba	Brasil
Lagoa de Dentro	Campina Grande	Paraiba	Brasil
