Sexo	Estado Civil	Bairro	Cidade	Língua estrangeira	Escola
Masculino	Solteiro(a)	Centro	Areial - PB	Espanhol	EEEFM Francisco Apolinário da Silva
Masculino	Solteiro(a)	Bela Vista	Campina Grande	Inglês 	EEEFM Severino Cabral
Masculino	Solteiro(a)	Ramadinha I	Campina Grande	Espanhol	EEEFM Professor Itan Pereira
Masculino	Solteiro(a)	Centro- JS	Junco do Seridó	Inglês 	EEEFM Ezequiel Fernandes
Masculino	Solteiro(a)	Centro- JS	Junco do Seridó	Inglês 	EEEFM Ezequiel Fernandes
Feminino	Solteiro(a)	Jardim Quarenta	Campina Grande	Inglês 	Colégio Santa Teresinha
Masculino	Solteiro(a)	Cruzeiro	Campina Grande	Espanhol	IFPB
Feminino	Solteiro(a)	Malvinas	Campina Grande	Inglês 	EEEFM Professor Anésio Leão
Masculino	Solteiro(a)	Centro- Caturité	Caturité	Inglês 	EEEFM Félix Araújo
Masculino	Solteiro(a)	Bairro Universitario	Campina Grande	Espanhol	EEEFM Ademar Veloso da Silveira
Feminino	Solteiro(a)	centro - Boa vista	Boa vista	Espanhol	EEEFM Teodósio de Oliveira Lêdo
Feminino	Solteiro(a)	Malvinas	Campina Grande	Espanhol	EEEFM Severino Cabral
Feminino	Solteiro(a)	Sitio Cachoeira dos Barbosas 	Ingá	Espanhol	EEEFM Luiz Gonzaga Buriti
Feminino	Solteiro(a)	Centenario	Campina grande	Espanhol	EEEFM Lúcia wanderlay de freitas
Feminino	Solteiro(a)	Morro do Oscar	Juarez Tavora	Espanhol	EMEF luis Ribeiro Coutinho
Masculino	Solteiro(a)	Centro- Lagoa seca	Lagoa Seca	Inglês 	EEEF Francisca Martiniano da Rocha
Feminino	Solteiro(a)	Três Irmãs	Campina Grande	Inglês 	EEEFM Major Veneziano Vital do Rêgo
Feminino	Solteiro(a)	Novo Bodocongó	Campina Grande	Inglês 	Estadual da Prata
Feminino	Solteiro(a)	Pedregal	Campina Grande	Inglês 	Estadual da Prata
Feminino	Solteiro(a)	Pedregal	Campina Grande	Inglês 	EEEFM Monte Carmelo
Masculino	Solteiro(a)	Bodocongó	Campina Grande	Inglês 	EEEFM Monte Carmelo
Feminino	Solteiro(a)	Mercado- Pocinhos	Pocinhos	Espanhol	EEEFM Antônio Galdino Filho
Feminino	Solteiro(a)	São José	Campina Grande	Inglês 	EEEFM Clementino Procópio
Feminino	Solteiro(a)	Três Irmãs	Campina Grande	Espanhol	EEEFM Antônio Galdino Filho
Feminino	Solteiro(a)	Catolé	Campina Grande	Inglês 	EEEFM Raul Córdula
Masculino	Solteiro(a)	Malvinas	Campina Grande	Espanhol	EEEFM CAIC José Joffily
Feminino	Solteiro(a)	Bodocongó	Campina Grande	Inglês 	EEEFM Severino Cabral
Masculino	Solteiro(a)	Jeremias	Campina Grande	Espanhol	EEEFM Professor Anésio Leão
Feminino	Solteiro(a)	Centro - Esperança	Esperança	Inglês 	ECIEEFM Monsenhor José da Silva Coutinho
Feminino	Solteiro(a)	Ramadinha II	Campina Grande	Espanhol	EEEFM Assis Chateaubriand
Feminino	Solteiro(a)	São José da Mata	Campina Grande	Inglês 	EEEFM Conselheiro José Braz do Rêgo
Masculino	Solteiro(a)	Bodocongó	Campina Grande	Inglês 	IFPB
Feminino	Solteiro(a)	Malvinas	Campina Grande	Inglês 	EEEFM Escritor Virginius da Gama e Melo
