gender	marital_st	neighborhood	city	language_opt	school	state	country
Masculino	Solteiro(a)	Bela Vista	Campina Grande	Inglês 	EEEFM Severino Cabral	Paraiba	Brasil
Masculino	Solteiro(a)	Ramadinha I	Campina Grande	Espanhol	EEEFM Professor Itan Pereira	Paraiba	Brasil
Feminino	Solteiro(a)	Jardim Quarenta	Campina Grande	Inglês 	Colégio Santa Teresinha	Paraiba	Brasil
Masculino	Solteiro(a)	Cruzeiro	Campina Grande	Espanhol	IFPB	Paraiba	Brasil
Feminino	Solteiro(a)	Malvinas	Campina Grande	Inglês 	EEEFM Professor Anésio Leão	Paraiba	Brasil
Masculino	Solteiro(a)	Bairro Universitario	Campina Grande	Espanhol	EEEFM Ademar Veloso da Silveira	Paraiba	Brasil
Feminino	Solteiro(a)	Malvinas	Campina Grande	Espanhol	EEEFM Severino Cabral	Paraiba	Brasil
Feminino	Solteiro(a)	Centenario	Campina grande	Espanhol	EEEFM Lúcia wanderlay de freitas	Paraiba	Brasil
Feminino	Solteiro(a)	Três Irmãs	Campina Grande	Inglês 	EEEFM Major Veneziano Vital do Rêgo	Paraiba	Brasil
Feminino	Solteiro(a)	Novo Bodocongó	Campina Grande	Inglês 	Estadual da Prata	Paraiba	Brasil
Feminino	Solteiro(a)	Pedregal	Campina Grande	Inglês 	Estadual da Prata	Paraiba	Brasil
Feminino	Solteiro(a)	Pedregal	Campina Grande	Inglês 	EEEFM Monte Carmelo	Paraiba	Brasil
Masculino	Solteiro(a)	Bodocongó	Campina Grande	Inglês 	EEEFM Monte Carmelo	Paraiba	Brasil
Feminino	Solteiro(a)	São José	Campina Grande	Inglês 	EEEFM Clementino Procópio	Paraiba	Brasil
Feminino	Solteiro(a)	Três Irmãs	Campina Grande	Espanhol	EEEFM Antônio Galdino Filho	Paraiba	Brasil
Feminino	Solteiro(a)	Catolé	Campina Grande	Inglês 	EEEFM Raul Córdula	Paraiba	Brasil
