,bairro,cidade,estado,pais,helper,latitude,longitude
0,Palmeira,Campina Grande,Paraiba,Brasil,Palmeira Campina Grande Paraiba Brasil,-7.2109874,-35.8937262
1,Catingueira,Campina Grande,Paraiba,Brasil,Catingueira Campina Grande Paraiba Brasil,-7.275804,-35.92729099931498
2,Bodocongó,Campina Grande,Paraiba,Brasil,Bodocongó Campina Grande Paraiba Brasil,-7.2190292,-35.9191986
3,Malvinas,Campina Grande,Paraiba,Brasil,Malvinas Campina Grande Paraiba Brasil,-7.2386284,-35.934277
4,Monte Santo,Campina Grande,Paraiba,Brasil,Monte Santo Campina Grande Paraiba Brasil,-7.2121449,-35.9000985
5,Bodocongó,Campina Grande,Paraiba,Brasil,Bodocongó Campina Grande Paraiba Brasil,-7.2190292,-35.9191986
6,Bodocongó,Campina Grande,Paraiba,Brasil,Bodocongó Campina Grande Paraiba Brasil,-7.2190292,-35.9191986
7,José Pinheiro,Campina Grande,Paraiba,Brasil,José Pinheiro Campina Grande Paraiba Brasil,-7.2256343,-35.8722073
8,Chico Mendes,Campina Grande,Paraiba,Brasil,Chico Mendes Campina Grande Paraiba Brasil,-,-
9,Ramadinha,Campina Grande,Paraiba,Brasil,Ramadinha Campina Grande Paraiba Brasil,-7.2193332,-35.9286796
10,Bela Vista,Campina Grande,Paraiba,Brasil,Bela Vista Campina Grande Paraiba Brasil,-7.2191718,-35.9018536
11,Bodocongó,Campina Grande,Paraiba,Brasil,Bodocongó Campina Grande Paraiba Brasil,-7.2190292,-35.9191986
12,Prata,Campina Grande,Paraiba,Brasil,Prata Campina Grande Paraiba Brasil,-7.223611,-35.8933216
13,Malvinas,Campina Grande,Paraiba,Brasil,Malvinas Campina Grande Paraiba Brasil,-7.2386284,-35.934277
14,Cruzeiro,Campina Grande,Paraiba,Brasil,Cruzeiro Campina Grande Paraiba Brasil,-7.2489388,-35.9025322
15,São José da Mata,Campina Grande,Paraiba,Brasil,São José da Mata Campina Grande Paraiba Brasil,-7.21442125,-36.002644049357556
16,Liberdade,Campina Grande,Paraiba,Brasil,Liberdade Campina Grande Paraiba Brasil,-7.2364481,-35.8925921
17,São José ,Campina Grande,Paraiba,Brasil,São José  Campina Grande Paraiba Brasil,-7.2262445,-35.8922067
18,Catolé,Campina Grande,Paraiba,Brasil,Catolé Campina Grande Paraiba Brasil,-7.2920173,-36.03939630791842
19,Liberdade,Campina Grande,Paraiba,Brasil,Liberdade Campina Grande Paraiba Brasil,-7.2364481,-35.8925921
20,Ramadinha,Campina Grande,Paraiba,Brasil,Ramadinha Campina Grande Paraiba Brasil,-7.2193332,-35.9286796
21,Jardim Paulistano,Campina Grande,Paraiba,Brasil,Jardim Paulistano Campina Grande Paraiba Brasil,-7.2501219,-35.8955181
22,Catolé,Campina Grande,Paraiba,Brasil,Catolé Campina Grande Paraiba Brasil,-7.2920173,-36.03939630791842
23,Castelo Branco,Campina Grande,Paraiba,Brasil,Castelo Branco Campina Grande Paraiba Brasil,-7.2139666,-35.8649933
24,Malvinas,Campina Grande,Paraiba,Brasil,Malvinas Campina Grande Paraiba Brasil,-7.2386284,-35.934277
25,Castelo Branco,Campina Grande,Paraiba,Brasil,Castelo Branco Campina Grande Paraiba Brasil,-7.2139666,-35.8649933
26,Novo Horizonte,Campina Grande,Paraiba,Brasil,Novo Horizonte Campina Grande Paraiba Brasil,-,-
27,Rosa Cruz,Campina Grande,Paraiba,Brasil,Rosa Cruz Campina Grande Paraiba Brasil,-,-
