bairro,cidade,estado,pais,helper,latitude,longitude
Palmeira,Campina Grande,Paraiba,Brasil,Palmeira Campina Grande Paraiba Brasil,"-7,2109874","-35,8937262"
Catingueira,Campina Grande,Paraiba,Brasil,Catingueira Campina Grande Paraiba Brasil,"-7,275804","-35,927290999315"
Bodocongó,Campina Grande,Paraiba,Brasil,Bodocongó Campina Grande Paraiba Brasil,"-7,2190292","-35,9191986"
Malvinas,Campina Grande,Paraiba,Brasil,Malvinas Campina Grande Paraiba Brasil,"-7,2386284","-35,934277"
Monte Santo,Campina Grande,Paraiba,Brasil,Monte Santo Campina Grande Paraiba Brasil,"-7,2121449","-35,9000985"
Bodocongó,Campina Grande,Paraiba,Brasil,Bodocongó Campina Grande Paraiba Brasil,"-7,2190292","-35,9191986"
Bodocongó,Campina Grande,Paraiba,Brasil,Bodocongó Campina Grande Paraiba Brasil,"-7,2190292","-35,9191986"
José Pinheiro,Campina Grande,Paraiba,Brasil,José Pinheiro Campina Grande Paraiba Brasil,"-7,2256343","-35,8722073"
Chico Mendes,Campina Grande,Paraiba,Brasil,Chico Mendes Campina Grande Paraiba Brasil,"-7,25658","-35,89691"
Ramadinha,Campina Grande,Paraiba,Brasil,Ramadinha Campina Grande Paraiba Brasil,"-7,2193332","-35,9286796"
Bela Vista,Campina Grande,Paraiba,Brasil,Bela Vista Campina Grande Paraiba Brasil,"-7,2191718","-35,9018536"
Bodocongó,Campina Grande,Paraiba,Brasil,Bodocongó Campina Grande Paraiba Brasil,"-7,2190292","-35,9191986"
Prata,Campina Grande,Paraiba,Brasil,Prata Campina Grande Paraiba Brasil,"-7,223611","-35,8933216"
Malvinas,Campina Grande,Paraiba,Brasil,Malvinas Campina Grande Paraiba Brasil,"-7,2386284","-35,934277"
Cruzeiro,Campina Grande,Paraiba,Brasil,Cruzeiro Campina Grande Paraiba Brasil,"-7,2489388","-35,9025322"
São José da Mata,Campina Grande,Paraiba,Brasil,São José da Mata Campina Grande Paraiba Brasil,"-7,21442125","-36,0026440493576"
Liberdade,Campina Grande,Paraiba,Brasil,Liberdade Campina Grande Paraiba Brasil,"-7,2364481","-35,8925921"
São José ,Campina Grande,Paraiba,Brasil,São José  Campina Grande Paraiba Brasil,"-7,2262445","-35,8922067"
Catolé,Campina Grande,Paraiba,Brasil,Catolé Campina Grande Paraiba Brasil,"-7,2920173","-36,0393963079184"
Liberdade,Campina Grande,Paraiba,Brasil,Liberdade Campina Grande Paraiba Brasil,"-7,2364481","-35,8925921"
Ramadinha,Campina Grande,Paraiba,Brasil,Ramadinha Campina Grande Paraiba Brasil,"-7,2193332","-35,9286796"
