"";"bairro";"cidade";"estado";"pais";"helper";"latitude";"longitude"
0;"Bela Vista";"Campina Grande";"Paraiba";"Brasil";"Bela Vista Campina Grande Paraiba Brasil";-7.2191718;-35.9018536
1;"Ramadinha";"Campina Grande";"Paraiba";"Brasil";"Ramadinha Campina Grande Paraiba Brasil";-7.2193332;-35.9286796
2;"Quarenta";"Campina Grande";"Paraiba";"Brasil";"Quarenta Campina Grande Paraiba Brasil";-7.2320028;-35.8980388
3;"Cruzeiro";"Campina Grande";"Paraiba";"Brasil";"Cruzeiro Campina Grande Paraiba Brasil";-7.2489388;-35.9025322
4;"Malvinas";"Campina Grande";"Paraiba";"Brasil";"Malvinas Campina Grande Paraiba Brasil";-7.2386284;-35.934277
5;"Universitário";"Campina Grande";"Paraiba";"Brasil";"Universitário Campina Grande Paraiba Brasil";-7.208052;-35.9112492
6;"Malvinas";"Campina Grande";"Paraiba";"Brasil";"Malvinas Campina Grande Paraiba Brasil";-7.2386284;-35.934277
7;"Centenário";"Campina Grande";"Paraiba";"Brasil";"Centenário Campina Grande Paraiba Brasil";-7.2271252;-35.9043288
8;"Três Irmãs";"Campina Grande";"Paraiba";"Brasil";"Três Irmãs Campina Grande Paraiba Brasil";-7.26325845;-35.93494170221802
9;"Novo Bodocongo";"Campina Grande";"Paraiba";"Brasil";"Novo Bodocongo Campina Grande Paraiba Brasil";-7.2024108;-35.9242851
10;"Pedregal";"Campina Grande";"Paraiba";"Brasil";"Pedregal Campina Grande Paraiba Brasil";-7.22322935;-35.90807177027915
11;"Pedregal";"Campina Grande";"Paraiba";"Brasil";"Pedregal Campina Grande Paraiba Brasil";-7.22322935;-35.90807177027915
12;"Bodocongó";"Campina Grande";"Paraiba";"Brasil";"Bodocongó Campina Grande Paraiba Brasil";-7.2190292;-35.9191986
13;"São José";"Campina Grande";"Paraiba";"Brasil";"São José Campina Grande Paraiba Brasil";-7.2262445;-35.8922067
14;"Três Irmãs";"Campina Grande";"Paraiba";"Brasil";"Três Irmãs Campina Grande Paraiba Brasil";-7.26325845;-35.93494170221802
15;"Catolé";"Campina Grande";"Paraiba";"Brasil";"Catolé Campina Grande Paraiba Brasil";-7.2920173;-36.03939630791842
16;"Malvinas";"Campina Grande";"Paraiba";"Brasil";"Malvinas Campina Grande Paraiba Brasil";-7.2386284;-35.934277
17;"Bodocongó";"Campina Grande";"Paraiba";"Brasil";"Bodocongó Campina Grande Paraiba Brasil";-7.2190292;-35.9191986
18;"Jeremias";"Campina Grande";"Paraiba";"Brasil";"Jeremias Campina Grande Paraiba Brasil";-7.2032806;-35.9014029
19;"Ramadinha";"Campina Grande";"Paraiba";"Brasil";"Ramadinha Campina Grande Paraiba Brasil";-7.2193332;-35.9286796
20;"São José da Mata";"Campina Grande";"Paraiba";"Brasil";"São José da Mata Campina Grande Paraiba Brasil";-7.21442125;-36.002644049357556
21;"Bodocongó";"Campina Grande";"Paraiba";"Brasil";"Bodocongó Campina Grande Paraiba Brasil";-7.2190292;-35.9191986
22;"Malvinas";"Campina Grande";"Paraiba";"Brasil";"Malvinas Campina Grande Paraiba Brasil";-7.2386284;-35.934277
23;"Galante";"Campina Grande";"Paraiba";"Brasil";"Galante Campina Grande Paraiba Brasil";-7.29220675;-35.80393066088588
24;"Centro - Eperança";"Campina Grande";"Paraiba";"Brasil";"Centro - Eperança Campina Grande Paraiba Brasil";"-";"-"
25;"Centenário";"Campina Grande";"Paraiba";"Brasil";"Centenário Campina Grande Paraiba Brasil";-7.2271252;-35.9043288
26;"Dinamérica";"Campina Grande";"Paraiba";"Brasil";"Dinamérica Campina Grande Paraiba Brasil";-7.2361213;-35.9155648
27;"Santa Cruz";"Campina Grande";"Paraiba";"Brasil";"Santa Cruz Campina Grande Paraiba Brasil";-7.2447219;-35.9100413
28;"Pedregal";"Campina Grande";"Paraiba";"Brasil";"Pedregal Campina Grande Paraiba Brasil";-7.22322935;-35.90807177027915
