,Area Code,Area_Name,Country,Pop_1801,Pop_1811,Pop_1821,Pop_1831,Pop_1841,Pop_1851,Pop_1861,Pop_1871,Pop_1881,Pop_1891,Pop_1901,Pop_1911,Pop_1921,Pop_1931,Pop_1939,Pop_1951,Pop_1961,Pop_1971,Pop_1981,Pop_1991,Pop_2001,helper,latitude,longitude
0,00AA,City of London,United Kingdom,129000,121000,125000,123000,124000,128000,112000,75000,51000,38000,27000,20000,14000,11000,9000,5000,4767,4000,5864,4230,7181,City of London United Kingdom,51.5156177,-0.0919983
1,00AB,Barking and Dagenham,United Kingdom,3000,4000,5000,6000,7000,8000,8000,10000,13000,19000,27000,39000,44000,138000,184000,189000,177092,161000,149786,140728,163944,Barking and Dagenham United Kingdom,51.5541171,0.15050434261994267
2,00AC,Barnet,United Kingdom,8000,9000,11000,13000,14000,15000,20000,29000,41000,58000,76000,118000,147000,231000,296000,320000,318373,307000,293436,284106,314565,Barnet United Kingdom,51.65309,-0.2002261
3,00AD,Bexley,United Kingdom,5000,6000,7000,9000,11000,12000,15000,22000,29000,37000,54000,60000,76000,95000,179000,205000,209893,217000,215233,211404,218301,Bexley United Kingdom,51.4416793,0.150488
4,00AE,Brent,United Kingdom,2000,2000,3000,3000,5000,5000,6000,19000,31000,65000,120000,166000,184000,251000,310000,311000,295893,281000,253275,227903,263466,Brent United Kingdom,51.4416653,0.234222
5,00AF,Bromley,United Kingdom,8000,9000,11000,12000,14000,16000,22000,42000,62000,83000,100000,116000,127000,165000,237000,268000,294440,305000,296539,282920,295535,Bromley United Kingdom,51.4028046,0.0148142
6,00AG,Camden,United Kingdom,100000,128000,163000,199000,229000,270000,307000,342000,357000,370000,377000,353000,341000,326000,301000,258000,245707,207000,172014,165274,198022,Camden United Kingdom,51.5423045,-0.1395604
7,00AH,Croydon,United Kingdom,8000,10000,12000,15000,20000,23000,33000,60000,85000,110000,143000,190000,213000,271000,297000,310000,327427,334000,317980,301904,330584,Croydon United Kingdom,51.3713049,-0.101957
8,00AJ,Ealing,United Kingdom,7000,8000,9000,11000,13000,14000,20000,31000,47000,63000,95000,165000,181000,226000,285000,311000,301646,301000,279846,264867,300943,Ealing United Kingdom,51.5126553,-0.3051952
9,00AK,Enfield,United Kingdom,11000,13000,16000,17000,18000,19000,23000,30000,42000,68000,105000,155000,167000,201000,272000,288000,273857,268000,258770,250750,273565,Enfield United Kingdom,51.6520851,-0.0810175
10,00AL,Greenwich,United Kingdom,35000,46000,50000,56000,70000,90000,125000,123000,139000,175000,210000,213000,237000,244000,243000,236000,229810,218000,211840,201545,214402,Greenwich United Kingdom,51.4820845,-0.0045417
11,00AM,Hackney,United Kingdom,50000,64000,80000,105000,128000,170000,218000,261000,329000,372000,389000,385000,379000,364000,332000,265000,257522,220000,180434,162772,202825,Hackney United Kingdom,51.5432402,-0.0493621
12,00AN,Hammersmith and Fulham,United Kingdom,10000,13000,15000,18000,23000,30000,40000,66000,115000,189000,250000,275000,288000,286000,259000,241000,222124,187000,148447,137720,165238,Hammersmith and Fulham United Kingdom,51.4920377,-0.2236401
13,00AP,Haringey,United Kingdom,6000,7000,9000,10000,13000,14000,21000,37000,73000,142000,209000,271000,285000,307000,292000,277000,259156,240000,203553,186490,216505,Haringey United Kingdom,51.587929849999995,-0.10541010599099046
14,00AQ,Harrow,United Kingdom,4000,5000,5000,7000,7000,8000,9000,11000,13000,15000,24000,42000,49000,97000,190000,219000,209080,203000,196571,194893,206822,Harrow United Kingdom,51.596827149999996,-0.33731605402671094
15,00AR,Havering,United Kingdom,6000,7000,8000,9000,11000,11000,12000,15000,16000,20000,26000,33000,38000,77000,139000,192000,245598,248000,240849,225144,224262,Havering United Kingdom,51.0043613,-2.337474942629507
16,00AS,Hillingdon,United Kingdom,9000,11000,12000,14000,17000,18000,20000,21000,23000,25000,29000,38000,48000,84000,159000,210000,228370,235000,229913,228476,243006,Hillingdon United Kingdom,51.542519299999995,-0.44833493117949663
